"CAUSABAS","capitulo_cid10","causabas_categoria"
"P35"," XVI - Algumas afecções originadas no período perinatal","Doenças virais congênitas"
"P36"," XVI - Algumas afecções originadas no período perinatal","Septicemia bacteriana do recém-nascido"
"P37"," XVI - Algumas afecções originadas no período perinatal","Outras doenças infecciosas e parasitárias congênitas"
"P38"," XVI - Algumas afecções originadas no período perinatal","Onfalite do recém-nascido com ou sem hemorragia leve"
"P39"," XVI - Algumas afecções originadas no período perinatal","Outras infecções específicas do período perinatal"
"P50"," XVI - Algumas afecções originadas no período perinatal","Perda sangüínea fetal"
"P51"," XVI - Algumas afecções originadas no período perinatal","Hemorragia umbilical do recém-nascido"
"P52"," XVI - Algumas afecções originadas no período perinatal","Hemorragia intracraniana não-traumática do feto e do recém-nascido"
"P53"," XVI - Algumas afecções originadas no período perinatal","Doença hemorrágica do feto e do recém-nascido"
"P54"," XVI - Algumas afecções originadas no período perinatal","Outras hemorragias neonatais"
"P55"," XVI - Algumas afecções originadas no período perinatal","Doença hemolítica do feto e do recém-nascido"
"P56"," XVI - Algumas afecções originadas no período perinatal","Hidropsia fetal devida a doença hemolítica"
"P57"," XVI - Algumas afecções originadas no período perinatal","Kernicterus"
"P58"," XVI - Algumas afecções originadas no período perinatal","Icterícia neonatal devida a outras hemólises excessivas"
"P59"," XVI - Algumas afecções originadas no período perinatal","Icterícia neonatal devida a outras causas e às não especificadas"
"P60"," XVI - Algumas afecções originadas no período perinatal","Coagulação intravascular disseminada do feto e do recém-nascido"
"P61"," XVI - Algumas afecções originadas no período perinatal","Outros transtornos hematológicos perinatais"
"P70"," XVI - Algumas afecções originadas no período perinatal","Transtornos transitórios do metabolismo dos carboidratos específicos do feto e do recém-nascido"
"P71"," XVI - Algumas afecções originadas no período perinatal","Transtornos transitórios do metabolismo do cálcio e do magnésio do período neonatal"
"P72"," XVI - Algumas afecções originadas no período perinatal","Outros transtornos endócrinos transitórios do período neonatal"
"P74"," XVI - Algumas afecções originadas no período perinatal","Outros distúrbios eletrolíticos e metabólicos transitórios do período neonatal"
"P75"," XVI - Algumas afecções originadas no período perinatal","Íleo meconial"
"P76"," XVI - Algumas afecções originadas no período perinatal","Outras obstruções intestinais do recém-nascido"
"P77"," XVI - Algumas afecções originadas no período perinatal","Enterocolite necrotizante do feto e do recém-nascido"
"P78"," XVI - Algumas afecções originadas no período perinatal","Outros transtornos do aparelho digestivo do período perinatal"
"P80"," XVI - Algumas afecções originadas no período perinatal","Hipotermia do recém-nascido"
"P81"," XVI - Algumas afecções originadas no período perinatal","Outros distúrbios da regulação térmica do recém-nascido"
"P83"," XVI - Algumas afecções originadas no período perinatal","Outras afecções comprometendo o tegumento específicas do feto e do recém-nascido"
"P90"," XVI - Algumas afecções originadas no período perinatal","Convulsões do recém-nascido"
"P91"," XVI - Algumas afecções originadas no período perinatal","Outros distúrbios da função cerebral do recém-nascido"
"P92"," XVI - Algumas afecções originadas no período perinatal","Problemas de alimentação do recém-nascido"
"P93"," XVI - Algumas afecções originadas no período perinatal","Reações e intoxicações devidas a drogas administradas ao feto e ao recém-nascido"
"P94"," XVI - Algumas afecções originadas no período perinatal","Transtornos do tônus muscular do recém-nascido"
"P95"," XVI - Algumas afecções originadas no período perinatal","Morte fetal de causa não especificada"
"P96"," XVI - Algumas afecções originadas no período perinatal","Outras afecções originadas no período perinatal"
"Q00"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Anencefalia e malformações similares"
"Q01"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Encefalocele"
"Q02"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Microcefalia"
"Q03"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Hidrocefalia congênita"
"Q04"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas do cérebro"
"Q05"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Espinha bífida"
"Q06"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas da medula espinhal"
"Q07"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas do sistema nervoso"
"Q10"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas das pálpebras, do aparelho lacrimal e da órbita"
"Q11"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Anoftalmia, microftalmia e macroftalmia"
"Q12"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas do cristalino"
"Q13"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas da câmara anterior do olho"
"Q14"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas da câmara posterior do olho"
"Q15"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas do olho"
"Q16"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas do ouvido causando comprometimento da audição"
"Q17"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas da orelha"
"Q18"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas da face e do pescoço"
"Q20"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas das câmaras e das comunicações cardíacas"
"Q21"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas dos septos cardíacos"
"Q22"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas das valvas pulmonar e tricúspide"
"Q23"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas das valvas aórtica e mitral"
"Q24"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas do coração"
"Q25"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas das grandes artérias"
"Q26"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas das grandes veias"
"Q27"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas do sistema vascular periférico"
"Q28"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas do aparelho circulatório"
"Q30"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformação congênita do nariz"
"Q31"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas da laringe"
"Q32"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas da traquéia e dos brônquios"
"Q33"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas do pulmão"
"Q34"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas do aparelho respiratório"
"Q35"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Fenda palatina"
"Q36"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Fenda labial"
"Q37"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Fenda labial com fenda palatina"
"Q38"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas da língua, da boca e da faringe"
"Q39"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas do esôfago"
"Q40"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas do trato digestivo superior"
"Q41"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Ausência, atresia e estenose congênita do intestino delgado"
"Q42"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Ausência, atresia e estenose congênita do cólon"
"Q43"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas do intestino"
"Q44"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas da vesícula biliar, das vias biliares e do fígado"
"Q45"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas do aparelho digestivo"
"Q50"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas dos ovários, das trompas de Falópio e dos ligamentos largos"
"Q51"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas do útero e do colo do útero"
"Q52"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas dos órgãos genitais femininos"
"Q53"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Testículo não-descido"
"Q54"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Hipospádias"
"Q55"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas dos órgãos genitais masculinos"
"Q56"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Sexo indeterminado e pseudo-hermafroditismo"
"Q60"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Agenesia renal e outros defeitos de redução do rim"
"Q61"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Doenças císticas do rim"
"Q62"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Anomalias congênitas obstrutivas da pelve renal e malformações congênitas do ureter"
"Q63"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas do rim"
"Q64"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas do aparelho urinário"
"Q65"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas do quadril"
"Q66"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Deformidades congênitas do pé"
"Q67"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Deformidades osteomusculares congênitas da cabeça, da face, da coluna e do tórax"
"Q68"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras deformidades osteomusculares congênitas"
"Q69"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Polidactilia"
"Q70"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Sindactilia"
"Q71"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Defeitos, por redução, do membro superior"
"Q72"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Defeitos, por redução, do membro inferior"
"Q73"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Defeitos por redução de membro não especificado"
"Q74"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas dos membros"
"Q75"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas dos ossos do crânio e da face"
"Q76"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas da coluna vertebral e dos ossos do tórax"
"Q77"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral"
"Q78"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras osteocondrodisplasias"
"Q79"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas do sistema osteomuscular não classificadas em outra parte"
"Q80"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Ictiose congênita"
"Q81"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Epidermólise bolhosa"
"Q82"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas da pele"
"Q83"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Malformações congênitas da mama"
"Q84"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas do tegumento"
"Q85"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Facomatoses não classificadas em outra parte"
"Q86"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Síndromes com malformações congênitas devidas a causas exógenas conhecidas, não classificadas em outra parte"
"Q87"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras síndromes com malformações congênitas que acometem múltiplos sistemas"
"Q89"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras malformações congênitas não classificadas em outra parte"
"Q90"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Síndrome de Down"
"Q91"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Síndrome de Edwards e síndrome de Patau"
"Q92"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras trissomias e trissomias parciais dos autossomos, não classificadas em outra parte"
"Q93"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Monossomias e deleções dos autossomos, não classificadas em outra parte"
"Q95"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Rearranjos equilibrados e marcadores estruturais, não classificados em outra parte"
"Q96"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Síndrome de Turner"
"Q97"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras anomalias dos cromossomos sexuais, fenótipo feminino, não classificadas em outra parte"
"Q98"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras anomalias dos cromossomos sexuais, fenótipo masculino, não classificadas em outra parte"
"Q99"," XVII - Malformações congênitas, deformidades e anomalias cromossômicas","Outras anomalias dos cromossomos, não classificadas em outra parte"
"R00"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Anormalidades do batimento cardíaco"
"R01"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sopros e outros ruídos cardíacos"
"R02"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Gangrena não classificada em outra parte"
"R03"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Valor anormal da pressão arterial sem diagnóstico"
"R04"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Hemorragia das vias respiratórias"
"R05"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Tosse"
"R06"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Anormalidades da respiração"
"R07"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Dor de garganta e no peito"
"R09"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Outros sintomas e sinais relativos aos aparelhos circulatório e respiratório"
"R10"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Dor abdominal e pélvica"
"R11"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Náusea e vômitos"
"R12"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Pirose"
"R13"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Disfagia"
"R14"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Flatulência e afecções correlatas"
"R15"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Incontinência fecal"
"R16"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Hepatomegalia e esplenomegalia não classificadas em outra parte"
"R17"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Icterícia não especificada"
"R18"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Ascite"
"R19"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Outros sintomas e sinais relativos ao aparelho digestivo e ao abdome"
"R20"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Distúrbios da sensibilidade cutânea"
"R21"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Eritema e outras erupções cutâneas não especificadas"
"R22"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Tumefação, massa ou tumoração localizadas da pele e do tecido subcutâneo"
"R23"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Outras alterações cutâneas"
"R25"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Movimentos involuntários anormais"
"R26"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Anormalidades da marcha e da mobilidade"
"R27"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Outros distúrbios da coordenação"
"R29"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular"
"R30"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Dor associada à micção"
"R31"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Hematúria não especificada"
"R32"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Incontinência urinária não especificada"
"R33"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Retenção urinária"
"R34"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Anúria e oligúria"
"R35"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Poliúria"
"R36"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Secreção uretral"
"R39"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Outros sintomas e sinais relativos ao aparelho urinário"
"R40"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sonolência, estupor e coma"
"R41"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Outros sintomas e sinais relativos à função cognitiva e à consciência"
"R42"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Tontura e instabilidade"
"R43"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Distúrbios do olfato e do paladar"
"R44"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Outros sintomas e sinais relativos às sensações e às percepções gerais"
"R45"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos ao estado emocional"
"R46"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à aparência e ao comportamento"
"R47"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Distúrbios da fala não classificados em outra parte"
"R48"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Dislexia e outras disfunções simbólicas, não classificadas em outra parte"
"R49"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Distúrbios da voz"
"R50"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Febre de origem desconhecida e de outras origens"
"R51"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Cefaléia"
"R52"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Dor não classificada em outra parte"
"R53"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Mal estar, fadiga"
"R54"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Senilidade"
"R55"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Síncope e colapso"
"R56"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Convulsões, não classificadas em outra parte"
"R57"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Choque não classificado em outra parte"
"R58"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Hemorragia não classificada em outra parte"
"R59"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Aumento de volume dos gânglios linfáticos"
"R60"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Edema não classificado em outra parte"
"R61"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Hiperidrose"
"R62"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Retardo do desenvolvimento fisiológico normal"
"R63"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à ingestão de alimentos e líquidos"
"R64"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Caquexia"
"R68"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Outros sintomas e sinais gerais"
"R69"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Causas desconhecidas e não especificadas de morbidade"
"R70"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Velocidade de hemossedimentação elevada e outras anormalidades da viscosidade plasmática"
"R71"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Anormalidade das hemácias"
"R72"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Anormalidade dos leucócitos não classificada em outra parte"
"R73"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Aumento da glicemia"
"R74"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Anormalidades dos níveis de enzimas séricas"
"R75"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Evidência laboratorial do vírus da imunodeficiência humana [HIV]"
"R76"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Outros achados imunológicos anormais no soro"
"R77"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Outras anormalidades das proteínas plasmáticas"
"R78"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Presença de drogas e de outras substâncias normalmente não encontradas no sangue"
"R79"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Outros achados anormais de exames químicos do sangue"
"R80"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Proteinúria isolada"
"R81"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Glicosúria"
"R82"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Outros achados anormais na urina"
"R83"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais no líquido cefalorraquidiano"
"R84"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de material proveniente dos órgãos respiratórios e do tórax"
"R85"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal"
"R86"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de material proveniente dos órgãos genitais masculinos"
"R87"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de material proveniente dos órgãos genitais femininos"
"R89"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de material proveniente de outros órgãos, aparelhos, sistemas e tecidos"
"R90"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Resultados anormais de exames para diagnóstico por imagem do sistema nervoso central"
"R91"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais, de exames para diagnóstico por imagem, do pulmão"
"R92"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais, de exames para diagnóstico por imagem, da mama"
"R93"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames para diagnóstico por imagem de outras estruturas do corpo"
"R94"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Resultados anormais de estudos de função"
"R95"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Síndrome da morte súbita na infância"
"R96"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Outras mortes súbitas de causa desconhecida"
"R98"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Morte sem assistência"
"R99"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Outras causas mal definidas e as não especificadas de mortalidade"
"S00"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Traumatismo superficial da cabeça"
"S01"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Ferimento da cabeça"
"S02"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Fratura do crânio e dos ossos da face"
"S03"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Luxação, entorse ou distensão das articulações e dos ligamentos da cabeça"
"S04"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Traumatismo dos nervos cranianos"
"S05"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Traumatismo do olho e da órbita ocular"
"S06"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Traumatismo intracraniano"
"S07"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Lesões por esmagamento da cabeça"
"S08"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Amputação traumática de parte da cabeça"
"S09"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Outros traumatismos da cabeça e os não especificados"
"S10"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Traumatismo superficial do pescoço"
"S11"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Ferimento do pescoço"
"S12"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Fratura do pescoço"
"S13"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Luxação, entorse ou distensão das articulações e dos ligamentos do pescoço"
"S14"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Traumatismo de nervos e da medula espinhal ao nível cervical"
"S15"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Traumatismo dos vasos sangüíneos ao nível do pescoço"
"S16"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Traumatismo de tendões e de músculos do pescoço"
"S17"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Lesões por esmagamento do pescoço"
"S18"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Amputação traumática ao nível do pescoço"
"S19"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Outros traumatismos do pescoço e os não especificados"
"S20"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Traumatismo superficial do tórax"
"S21"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Ferimento do tórax"
"S22"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Fratura de costela(s), esterno e coluna torácica"
"S23"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Luxação, entorse e distensão de articulações e dos ligamentos do tórax"
"S24"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Traumatismos de nervos e da medula espinhal ao nível do tórax"
"S25"," XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas","Traumatismo de vasos sangüíneos do tórax"
